ids,labels,parent,color
Flavors,Flavors,,whitesmoke
Effects,Effects,,whitesmoke
Ammonia,Ammonia,Flavors,green
Apple,Apple,Flavors,white
Apricot,Apricot,Flavors,white
Berry,Berry,Flavors,white
Blue Cheese,Blue Cheese,Flavors,green
Blueberry,Blueberry,Flavors,white
Cheese,Cheese,Flavors,green
Chemical,Chemical,Flavors,white
Chestnut,Chestnut,Flavors,white
Citrus,Citrus,Flavors,white
Coffee,Coffee,Flavors,white
Diesel,Diesel,Flavors,white
Earthy,Earthy,Flavors,white
Flowery,Flowery,Flavors,white
Grape,Grape,Flavors,white
Grapefruit,Grapefruit,Flavors,white
Honey,Honey,Flavors,white
Lavender,Lavender,Flavors,white
Lemon,Lemon,Flavors,white
Lime,Lime,Flavors,white
Mango,Mango,Flavors,white
Mint,Mint,Flavors,white
Nutty,Nutty,Flavors,white
Orange,Orange,Flavors,white
Pepper,Pepper,Flavors,white
Pine,Pine,Flavors,white
Pineapple,Pineapple,Flavors,white
Plum,Plum,Flavors,white
Pungent,Pungent,Flavors,white
Sage,Sage,Flavors,white
Skunk,Skunk,Flavors,white
Spicy/Herbal,Spicy/Herbal,Flavors,white
Strawberry,Strawberry,Flavors,white
Sweet,Sweet,Flavors,white
Tar,Tar,Flavors,white
Tea,Tea,Flavors,white
Tobacco,Tobacco,Flavors,white
Tree Fruit,Tree Fruit,Flavors,white
Tropical,Tropical,Flavors,white
Vanilla,Vanilla,Flavors,white
Woody,Woody,Flavors,white
Aroused,Aroused,Effects,white
Creative,Creative,Effects,white
Energetic,Energetic,Effects,white
Euphoric,Euphoric,Effects,white
Focused,Focused,Effects,white
Giggly,Giggly,Effects,white
Happy,Happy,Effects,white
Hungry,Hungry,Effects,green
Relaxed,Relaxed,Effects,white
Sleepy,Sleepy,Effects,white
Talkative,Talkative,Effects,green
Tingly,Tingly,Effects,white
Uplifted,Uplifted,Effects,green
